GO.ID	pValue
GO:0006414	0.00019
GO:0051169	0.00029
GO:0019693	0.00122
GO:0006270	0.00128
GO:0003012	0.00153
GO:0046390	0.00159
GO:0045824	0.0026
GO:0016072	0.00415
GO:0097746	0.0051
GO:0070873	0.00513
GO:0080134	0.00591
GO:0005981	0.00649
GO:0008217	0.00716
GO:0006457	0.00796
GO:0007436	0.00939
GO:0050777	0.00956
GO:0032200	0.01006
GO:0002831	0.01059
GO:0034982	0.01068
GO:0010907	0.0112
GO:0036297	0.01238
GO:0009636	0.01245
GO:0006413	0.01335
GO:0032101	0.01371
GO:0032881	0.01484
GO:0009607	0.01542
GO:0072144	0.01626
GO:0016203	0.01632
GO:0051236	0.01646
GO:0003018	0.01676
GO:0072143	0.01778
GO:0051276	0.01789
