GO.ID	pValue
GO:0003012	8.3e-06
GO:0098657	1.4e-05
GO:1901293	1.9e-05
GO:0060810	3.9e-05
GO:0006897	4.1e-05
GO:0034643	7.9e-05
GO:0140053	0.00016
GO:0000912	0.00018
GO:0006413	0.00019
GO:0002164	0.00024
GO:0044057	0.00024
GO:2001244	0.00026
GO:0044837	0.00041
GO:0060491	0.00043
GO:1901798	0.00045
GO:0002165	0.00047
GO:0006839	0.00056
GO:0007351	0.00066
GO:0120034	7e-04
GO:0032506	0.00085
GO:0001700	0.00087
GO:0019693	0.00089
GO:0097581	0.00119
GO:0008298	0.00121
GO:1902600	0.00122
GO:0006414	0.00128
GO:2001242	0.00142
GO:0080135	0.00145
GO:0003006	0.00177
GO:0045807	0.00195
GO:0035272	0.00204
GO:0120032	0.00206
